,acc_name,clean_name
687,Clostridium_sp_W14A,clostridium_sp_w14a
688,Clostridium_sp_Ade.TY,clostridium_sp_ade.ty
689,Eubacterium_coprostanoligenes,eubacterium_coprostanoligenes
690,Pseudobutyrivibrio_ruminis_CF1b,pseudobutyrivibrio_ruminis_cf1b
691,Pseudoruminoccoccus_massiliensis,pseudoruminoccoccus_massiliensis
692,Paenibacillus_sp_Soil766,paenibacillus_sp_soil766
693,Desmospora_activa_DSM,desmospora_activa_dsm
694,Clostridiales_bacterium_KA00274,clostridiales_bacterium_ka00274
695,"Clostridium_sp_SY8519,",clostridium_sp_sy8519
696,Pseudoflavonifractor_capillosus_ATCC,pseudoflavonifractor_capillosus_atcc
697,symbiosum_ATCC_14940,symbiosum_atcc_14940
698,"Butyrivibrio_sp_INlla18,",butyrivibrio_sp_inlla18
699,"Paenibacillus_mucilaginosus_3016,",paenibacillus_mucilaginosus_3016
700,GCF_000526575.1_ASM52657v1,clostridium_sp_12(a)
701,"Lachnospiraceae_bacterium_G41,",lachnospiraceae_bacterium_g41
702,"Butyrivibrio_sp_M55,",butyrivibrio_sp_m55
703,Dorea_longicatena,dorea_longicatena
704,Eubacterium_infirmum_F0142,eubacterium_infirmum_f0142
705,Megasphaera_cerevisiae_DSM,megasphaera_cerevisiae_dsm
706,Caloramator_mitchellensis,caloramator_mitchellensis
707,Brevibacillus_laterosporus,brevibacillus_laterosporus
708,Clostridium_frigidicarnis,clostridium_frigidicarnis
709,"Peptoniphilus_obesi_ph1,",peptoniphilus_obesi_ph1
710,Paenibacillus_oryzisoli,paenibacillus_oryzisoli
711,Paenibacillus_sp_PCH8,paenibacillus_sp_pch8
712,Phascolarctobacterium_faecium_DSM,phascolarctobacterium_faecium_dsm
713,Peptoniphilus_urinimassiliensis,peptoniphilus_urinimassiliensis
714,Sporomusa_acidovorans,sporomusa_acidovorans
715,Fastidiosipila_sanguinis,fastidiosipila_sanguinis
716,Ruminococcus_flavefaciens_ND2009,ruminococcus_flavefaciens_nd2009
717,Butyrivibrio_sp_WCD3002,butyrivibrio_sp_wcd3002
718,Inediibacterium_massiliense,inediibacterium_massiliense
719,Eisenbergiella_tayi,eisenbergiella_tayi
720,Robinsoniella_peoriensis,robinsoniella_peoriensis
721,Lachnospiraceae_bacterium_M18-1,lachnospiraceae_bacterium_m18-1
722,GCF_000340885.1_ASM34088v1,clostridium_saccharoperbutylacetonicum_n1-4(hmt)
723,"Caldicellulosiruptor_owensensis_OL,",caldicellulosiruptor_owensensis_ol
724,Paenibacillus_riograndensis_SBR5,paenibacillus_riograndensis_sbr5
725,"Clostridium_amazonitimonense,_whole",clostridium_amazonitimonense_whole
726,"Ruminococcaceae_bacterium_CPB6,",ruminococcaceae_bacterium_cpb6
727,Anaerovirgula_multivorans,anaerovirgula_multivorans
728,Pseudoramibacter_alactolyticus_ATCC,pseudoramibacter_alactolyticus_atcc
729,Selenomonas_massiliensis,selenomonas_massiliensis
730,"Peptostreptococcus_sp_D1,",peptostreptococcus_sp_d1
731,"Intestinibacillus_sp_Marseille-P4005,",intestinibacillus_sp_marseille-p4005
732,Veillonella_atypica_KON,veillonella_atypica_kon
733,Paenibacillus_sp_32O-W,paenibacillus_sp_32o-w
734,Clostridium_baratii_str.,clostridium_baratii_str.
735,Massilimaliae_massiliensis,massilimaliae_massiliensis
