,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
953,36011,BSU37760,BSU37760,False,4,4,0,target,BSU37760,rocC,A8O17_RS18535,0,rocA→rocC,0.0,0.0,0.0,0.0,0.0,0.0,-1.32310889954808,2,0.0,0.00038326624026905514,,,,,
954,36010,BSU34550,BSU34550,False,1,1,0,target,BSU34550,pgcM,A8O17_RS16865,0,yvdE→pgcM,0.0,0.0,0.0,0.0,0.0,0.0,2.75966318019634,4,0.0,0.00032184734523501635,,,,,
955,36009,BSU38890,BSU38890,False,1,1,0,target,BSU38890,yxjN,A8O17_RS19120,0,yxjN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0003748141772340186,,,,,
956,36008,BSU00880,BSU00880,False,4,4,0,target,BSU00880,disA,A8O17_RS00595,1,disA,0.0,0.0,0.0,1.196347957,0.0,0.0,0.9056060635145942,1,0.0,0.00037307940855652705,,,,,
957,36007,BSU17520,BSU17520,False,3,3,0,target,BSU17520,ynaD,A8O17_RS09030,0,None,0.0,0.0,0.0,0.0,0.0,0.0,-2.05266700032827,10,0.0,0.00039318727272921224,,,,,
958,36006,BSU05980,BSU05980,False,1,1,0,target,BSU05980,tatAY,A8O17_RS03225,0,ydiG→tatCY,0.0,0.0,0.0,0.0,0.0,0.0,-1.32996947883966,3,0.0,0.0003957811418312995,,,,,
959,36005,BSU30840,BSU30840,False,1,1,0,target,BSU30840,yteA,A8O17_RS14800,1,yteA,0.0,0.0,15.3213960188006,11.8694335,0.0,0.0,5.96021301427086,1,0.0,0.0003216467513135777,,,,,
960,36004,BSU09440,BSU09440,False,2,2,0,target,BSU09440,citA,A8O17_RS05070,0,citA→yhdF,0.0,0.0,-3.98455416150354,0.0,0.0,-2.08462408322,0.0,9,0.0,0.00039057662018092995,,,,,
961,36003,BSU28510,BSU28510,False,2,2,0,target,BSU28510,abf2,A8O17_RS13615,0,abf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.00033786839568926,,,,,
962,36002,BSU19660,BSU19660,False,1,1,0,target,BSU19660,yozD,A8O17_RS10235,1,yodN→yozD,0.0,0.0,6.20937129137631,4.449112805,0.0,0.0,6.46676852802431,1,0.0,0.0003215442018957648,,,,,
963,36001,BSU11010,BSU11010,False,1,1,0,target,BSU11010,yitJ,A8O17_RS05855,0,yitJ,0.0,0.0,-2.65942652163467,-1.771649047,0.0,-1.39896659116844,-3.38612882038974,1,0.0,0.00034757839146180435,,,,,
964,36000,BSU18130,BSU18130,False,1,1,0,target,BSU18130,bglC,A8O17_RS09375,0,bglC,0.0,0.0,3.78366867893294,1.889717329,0.0,0.0,3.00857185159557,3,0.0,0.0003306748949173329,,,,,
965,35999,BSU17400,BSU17400,False,1,1,0,target,BSU17400,ymaB,A8O17_RS08965,0,ymzA→ymaB,0.0,0.0,-2.91694654611993,-1.752878545,0.0,0.0,-3.92600398802606,,0.0,0.00032034260568959016,,,,,
966,35998,BSU38880,BSU38880,False,5,0,5,regulator,BSU38880,yxjO,A8O17_RS19115,0,None,0.0,0.0,0.0,0.0,0.0,0.0,1.2939851820879,11,0.0,0.00032034260568959016,1.0,0.0,,,
967,35997,BSU01050,BSU01050,False,1,1,0,target,BSU01050,rplL,A8O17_RS00685,0,rplK->rplL,0.0,0.0,0.0,0.0,0.0,1.23000071280824,-3.737047784771589,5,0.0,0.00032812425876736567,,,,,
968,35996,BSU31220,BSU31220,False,1,1,0,target,BSU31220,yuxG,A8O17_RS15120,0,None,0.0,0.0,0.0,1.606881121,0.0,0.0,0.0,4,0.0,0.0003363636561438338,,,,,
969,35995,BSU19669,BSU19669,False,1,1,0,target,BSU19669,yoyF,A8O17_RS10240,1,yoyF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003215442018957648,,,,,
970,35994,BSU34540,BSU34540,False,2,2,0,target,BSU34540,clpP,A8O17_RS16860,0,clpP,0.0,0.0,0.884466544645109,0.0,0.0,-1.19717227682443,0.0,1,0.0,0.0003404816048660682,,,,,
971,35993,BSU17510,BSU17510,False,2,2,0,target,BSU17510,ynaC,A8O17_RS09025,0,ynaB→ynaC,0.0,0.0,-1.43570182564629,0.0,0.0,0.0,0.851882017290557,9,0.0,0.00037095008676812485,,,,,
972,35992,BSU30870,BSU30870,False,1,1,0,target,BSU30870,ytcB,A8O17_RS14815,1,ytcA→ytcC,0.0,0.0,5.2975281603468,0.0,0.0,0.0,3.31983061885264,1,0.0,0.00032219034927741166,,,,,
973,35991,BSU38090,BSU38090,False,1,1,0,target,BSU38090,vpr,A8O17_RS18705,0,vpr,0.0,0.0,-5.15476964358768,-3.669157801,0.0,-1.95073988462154,-5.40151731312665,2,0.0,0.00032261428168132295,,,,,
